Var1,Freq
輔導與諮商,1
輕艇與水上救生,1
領隊導遊實務,1
劇場創作,1
劇場實務,1
劇場管理,1
數位媒體剪輯,1
樂團演奏,1
歐陸哲學,1
編曲,1
編創,1
編舞,1
編劇,1
課程與教學,1
踢踏舞,1
適應體育行政法制,1
適應體育教案設計,1
適應體育教學策略,1
適應體育規則裁判法,1
適應體育學,1
諮詢與輔導,1
鋼琴伴奏,1
鋼琴教學,1
雕塑伸展,1
龍獅,1
應用生物力學,1
戲曲身段教學,1
擊劍B級教練,1
擊樂,1
擊樂伴奏,1
爵士,1
環境教育,1
臨床步態及動作分析,1
職業運動管理,1
醫學工程,1
繩索技術與拯救,1
藝術評論,1
藝術概論,1
藝術鑑賞,1
藥理,1
蹼泳,1
競技運動技術分析,1
競技與健身運動心理學,1
競技戰術戰略,1
競技體操,1
競速直排輪,1
競賽理論,1
籃球論,1
警察法規,1
護理,1
體育﹑羽毛球﹑休閒活動領導﹑網球,1
體育﹑射箭,1
體育﹑棒壘球﹑重量訓練﹑專長訓練﹑橄欖球,1
體育﹑橄欖球,1
體育心理學,1
體育行政學,1
體育研究,1
體育科教學,1
體育科教學實習,1
體育倫理學,1
體育師資培育研究,1
體育專長訓練,1
體育教材教法,1
體育教育,1
體育教育學,1
體育教師實務,1
體育統計與實驗設計,1
體育統計學,1
體育測驗與評量,1
體育運動,1
體育運動史,1
體育運動組織行為,1
體育運動經營與管理,1
體育運動舞蹈,1
體育運動競賽實務,1
體育管理,1
體育領導與政策,1
體育課程,1
體育學,1
體育學研究法,1
體育應用術語,1
體重管理,1
體能訓練法,1
體能與遊戲,1
體適能運動處方,1
體適能與健康管理,1
體適能與運動能力評量,1
體適能檢測體育運動處方,1
體操(女),1
體操(男),1
體操訓練及教學,1
體操等專長,1
體操裁判,1
