R_stu,I_stu,A_stu,S_stu,E_stu,C_stu,R_voc,I_voc,A_voc,S_voc,E_voc,C_,Hitrate,Firstcodepercentage,Twocodespercentage,Decliningrate,Delayrate,StudySuspensionrate,TotalSuspensionrate,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_bachelor,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,salary_mas_vs_bach,emplorate_mas_vs_bach
1,0,0,1,1,0,1,0,1,1,0,0,4,0.7,0.3,-0.137278583,0.095588235,0.033126408,0.089380871,0.039840637,0.035856574,0.019920319,65291,37390,0.9579,0.8674,0.0015,441,0.0049,1477,1.746215566,1.104334794
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.246953953,0.01433121,0.028816199,0.064641745,0.019583843,0.019583843,0.004895961,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.131464646,0.041152263,0.023989278,0.043908617,0.038961039,0.033766234,0.007792208,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,1,0,0,0,0,1,1,0,0,0,0,6,0.48,0.44,-0.136838365,0.015898251,0.018945634,0.043657331,0.012241055,0.012241055,0.003766478,52645,32010,0.9564,0.9041,0.0041,-581,0.0112,5193,1.644642299,1.057847583
0,0,1,1,1,0,0,0,1,1,0,0,5,0.36,0.27,-0.01714397,0.039525692,0.077781723,0.139535985,0.038011696,0.038011696,0.00877193,48323,32744,0.8476,0.8029,-0.0023,-2966,0.0254,2259,1.475781823,1.055673185
1,1,0,0,0,0,1,1,0,0,0,0,6,0.63,0.38,-0.034225589,0.037174721,0.019083969,0.051526718,0.024742268,0.022680412,0.008247423,39181,33191,0.9048,0.5789,0.04,820.5,0.0706,5252,1.18047061,1.562964243
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,-0.027860048,0.041441441,0.033612308,0.117801573,0.022395326,0.017526777,0.004868549,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
1,1,0,0,0,0,1,1,0,0,0,0,6,0.56,0.33,-0.176215182,0.015873016,0.033766234,0.105194805,0.051779935,0.042071197,0.012944984,54061,35251,0.9551,0.8842,-0.0079,3279.7,0.0558,3865,1.533601884,1.080185478
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.198616395,0.00802139,0.021101826,0.047892335,0.029982363,0.026455026,0.003527337,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
0,0,0,0,0,0,1,1,0,0,0,0,4,0.38,0.31,-0.158783784,0.028645833,0.025773196,0.079896907,0.036850921,0.033500838,0.006700168,36151,27792,0.8649,0.8588,0.03,-2601.67,0.0095,4916,1.300770006,1.007102934
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,-0.00471618,0.042471042,0.023356401,0.063148789,0.023913043,0.019565217,0.002173913,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.33,-0.132618398,0.007233273,0.031502423,0.100969305,0.037364798,0.030481809,0.006882989,41235,32106,0.9067,0.6571,0.0225,9128.33,0.024,3242,1.284339376,1.37985086
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.148914209,0.057575758,0.026392962,0.061583578,0.037974684,0.035443038,0.005063291,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
1,1,0,0,0,0,1,1,0,0,0,0,6,0.6,0.6,-0.195764218,0.011160714,0.047785548,0.132867133,0.043356643,0.037762238,0.005594406,60601,34097,0.9663,0.8288,0.0019,3008.25,0.0119,6024,1.777311787,1.16590251
1,1,1,0,0,0,1,1,0,0,0,0,5,0.4,0.4,-0.129769556,0.025974026,0.026066351,0.068720379,0.035,0.03,0.0125,41235,32106,0.9067,0.6571,0.0225,9128.33,0.024,3242,1.284339376,1.37985086
0,0,1,1,1,1,0,0,0,0,1,1,4,0.36,0.21,-0.111686153,0.067164179,0.097457627,0.194915254,0.023923445,0.019138756,0,74074,34554,0.8597,0.6386,0.0225,-59,0.024,4410,2.143717081,1.34622612
1,1,0,0,0,0,1,1,0,0,0,0,6,0.77,0.69,-0.098491348,0.046931408,0.040540541,0.106177606,0.051724138,0.051724138,0.021551724,60185,36818,0.9085,0.7526,0.03,591.67,0.0165,7399,1.634662393,1.207148552
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.5,-0.127746963,0.007936508,0.038363171,0.113810742,0.036334913,0.036334913,0.017377567,38367,27171,0.9663,0.865,0.0138,1399.2,0.024,2350,1.412056973,1.117109827
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,-0.112067385,0.018126888,0.021341463,0.051829268,0.027173913,0.024456522,0.008152174,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
1,1,0,0,0,0,1,1,0,0,0,0,6,0.56,0.33,-0.104510083,0.017482517,0.033807829,0.108540925,0.033472803,0.033472803,0.025104603,42664,30968,0.9091,0.7883,0.007,1791,0.0087,2463,1.377680186,1.153241152
1,1,0,0,0,0,1,1,0,0,0,0,6,0.57,0.43,-0.107736448,0.025641026,0.02991453,0.085470085,0.025735294,0.022058824,0.011029412,39460,30452,0.8475,0.8429,-0.0086,-1709.5,0.0237,1911,1.295809799,1.00545735
1,1,1,0,0,0,1,1,0,0,0,0,5,0.4,0.4,-0.070565908,0.026217228,0.020754717,0.073584906,0.024553571,0.024553571,0.008928571,38836,27431,0.9756,0.8723,0.0205,-666.5,-0.0139,2424,1.415770479,1.118422561
